symbol,name,price,market_cap,rank,change_24h,change_7d,change_30d
btc,Bitcoin,107760.0,2149703277230,1,-0.72967,-4.266401866673152,-4.145082831957294
eth,Ethereum,3828.45,462135108377,2,-1.66068,-7.862171607603513,-7.898658338754416
usdt,Tether,1.001,182526593514,3,0.00809,-0.018285141461448245,0.0021363605713165465
bnb,BNB,1069.74,149143113175,4,-0.81462,-10.015310211039436,5.062550828063319
xrp,XRP,2.4,143867090174,5,-1.14939,-4.153229281569533,-14.575916017139361
sol,Solana,185.4,101412467944,6,-0.46663,-10.001946831802659,-15.905245536078022
usdc,USDC,0.99978,76665883092,7,-0.01238,-0.011902953627570578,0.007594479851013316
steth,Lido Staked Ether,3827.06,32576405881,8,-1.57617,-7.8607113463215486,-7.7477907967484025
trx,TRON,0.319024,30200342528,9,-0.82815,-0.5843400201818016,-4.82578793855086
doge,Dogecoin,0.19113,28958990396,10,-1.64208,-6.253163104459823,-19.51646011502784
ada,Cardano,0.635846,23253313489,11,-1.4381,-9.21891357850533,-22.13355934898818
wsteth,Wrapped stETH,4656.94,15016817093,12,-1.54183,-7.824755900840811,-7.533509071390726
wbtc,Wrapped Bitcoin,107590.0,13685522418,13,-0.7754,-4.4401932413489735,-4.554229993327278
wbeth,Wrapped Beacon ETH,4132.41,13522469925,14,-1.58165,-7.735808042092968,-7.704269256589768
figr_heloc,Figure Heloc,1.021,13439178044,15,2.36199,2.896043537142813,2.0538600000000073
link,Chainlink,17.44,12156286517,16,-3.3277,-7.5366249493194095,-17.383754906356664
usde,Ethena USDe,0.999137,11108539064,17,-0.0417,-0.11025483583943511,-0.027743828086293547
weeth,Wrapped eETH,4130.05,10298599392,18,-1.63506,-7.8648981685698365,-8.422263137343405
xlm,Stellar,0.311611,9976172873,19,-1.74795,-7.558831333272933,-12.517158095203246
hype,Hyperliquid,35.95,9738078463,20,0.34281,-10.92466420229616,-26.272408294193532
bch,Bitcoin Cash,472.83,9434589474,21,-0.2224,-12.12818057305791,-17.0207204842927
usds,USDS,0.999793,9088193134,22,-0.02451,-0.010141723448866345,0.03075267376077782
bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999608,8988413188,23,-0.05357,-0.0713826537588063,-0.18195537067214446
sui,Sui,2.43,8816110566,24,-2.78919,-13.922345621745144,-27.335226653206863
avax,Avalanche,19.59,8358133779,25,-1.94098,-14.242040410994006,-36.0810947971737
weth,WETH,3828.46,8281004588,26,-1.64071,-7.878657404841319,-7.881913362775111
leo,LEO Token,8.96,8267847152,27,-0.05075,-7.171129734496075,-5.275425057778814
cbbtc,Coinbase Wrapped BTC,107717.0,7507089512,28,-0.68336,-4.154176688477717,-4.0729766548472695
hbar,Hedera,0.169273,7178046723,29,-1.93427,-10.426253466800313,-21.218136644831382
usdt0,USDT0,1.0,7121749499,30,-0.01078,-0.07975454736281157,-0.04625052739972404
ltc,Litecoin,92.29,7055205146,31,-0.467,-5.699569877825575,-12.68261841299557
wbt,WhiteBIT Coin,41.09,5924808699,32,-0.0307,-3.9115226898317217,-2.509124636458859
shib,Shiba Inu,9.92e-06,5848186863,33,-0.7124,-7.336605301039755,-17.47056127877764
xmr,Monero,306.34,5652379168,34,-2.28623,-5.958625634874512,5.496954609173237
ton,Toncoin,2.15,5428630167,35,-2.75013,-6.951428646986875,-23.492405618030045
susde,Ethena Staked USDe,1.2,5337054881,36,-0.06512,-0.029318216652387125,0.16122694657753392
mnt,Mantle,1.62,5272847925,37,-6.20925,-16.362988277157474,1.780237864645288
cro,Cronos,0.14348,5180611413,38,-0.94788,-13.82727624904925,-27.860314989525335
dai,Dai,0.998134,4655589913,39,-0.16222,-0.18017176523373665,-0.12689641306547775
dot,Polkadot,2.98,4541702345,40,-0.67084,-8.794012207227233,-24.476504427747727
zec,Zcash,271.83,4441042938,41,0.7017,3.169715042046368,468.94332941794204
tao,Bittensor,390.62,3754613491,42,-2.77895,-11.209221942418223,25.92061219959379
m,MemeCore,2.19,3704493328,43,5.30109,10.373458064556807,-15.043231717505842
uni,Uniswap,6.15,3693549492,44,-0.78122,-9.739452924757833,-24.10964037039355
susds,sUSDS,1.082,3496529661,45,0.89859,0.9245610498660983,1.2893104101804287
wlfi,World Liberty Financial,0.125072,3409590614,46,-2.11308,-13.552278374075172,-40.50329293768045
ena,Ethena,0.473356,3389822552,47,5.60821,4.818759774199222,-20.746036963077206
okb,OKB,160.51,3370842627,48,-3.15678,-11.463625881571799,-13.488148489840531
aave,Aave,217.57,3321707750,49,-1.8345,-15.202930142244952,-17.458506957242303
bgb,Bitget Token,4.58,3206369653,50,0.17034,-5.910862533905605,-9.888833961112086
