tp,sl,expected_ratio,actual_ratio,trades,wins,losses,win_rate,pf,return,mdd,sharpe,calmar
1.5,0.7000000000000001,2.142857142857143,1.6395678753229335,57,27,30,0.47368421052631576,1.47561108779064,11.659579677330097,7.9861730973176055,0.7085577609863416,1.459970818970392
1.5,0.8,1.875,1.4926707958541725,57,27,30,0.47368421052631576,1.343403716268755,7.944889210593844,8.865860513013091,0.49617581162883684,0.8961216115381616
1.5,1.0,1.5,1.191804077049153,57,29,28,0.5087719298245614,1.2343685083723368,4.987988523434513,11.375338244977469,0.31320136722344644,0.4384914466729682
2.0,0.7000000000000001,2.857142857142857,1.8787697855578305,56,25,31,0.44642857142857145,1.51513692383696,14.164170486437769,7.581055688124828,0.8120199291142653,1.8683638623872543
2.0,0.8,2.5,1.7230958259645075,56,25,31,0.44642857142857145,1.3895934080358932,10.542243049089869,8.719850086538813,0.6154260974857736,1.2089936116406816
2.0,1.0,2.0,1.4199007955502956,56,28,28,0.5,1.4199007955502956,13.941510244970138,9.332577757901877,0.7428838745135946,1.493854174766011
2.0,1.2,1.6666666666666667,1.320281818756988,56,29,27,0.5178571428571429,1.4180804719982465,14.571564997787807,9.731246886595653,0.7553668765310686,1.4973995796838195
2.5,0.7000000000000001,3.5714285714285716,2.263098685293243,49,17,32,0.3469387755102041,1.2022711765620353,3.510298800304372,12.143564406484408,0.21604891591102782,0.28906659386019695
2.5,0.8,3.125,2.1041429338539754,49,19,30,0.3877551020408163,1.3326238581075178,9.325896532464045,12.071524566022521,0.48111430503060976,0.7725533325520009
2.5,1.0,2.5,1.651628488340755,49,21,28,0.42857142857142855,1.2387213662555663,7.133450898456983,14.960943746697641,0.3645650576381983,0.47680487402618327
2.5,1.2,2.0833333333333335,1.5467116567985886,49,24,25,0.4897959183673469,1.484843190526645,19.22784365337086,11.287328701425984,0.8374133079997197,1.7034892986629966
2.5,1.5,1.6666666666666667,1.4202746732797584,49,24,25,0.4897959183673469,1.363463686348568,14.739510356695915,13.486632868156297,0.6480222972505508,1.0928977233077817
3.0,0.7000000000000001,4.285714285714286,2.529041974047507,48,17,31,0.3541666666666667,1.3868939857679876,11.329118930112745,11.17652571102894,0.5641815925281531,1.0136530101597876
3.0,0.8,3.75,2.3932824372522226,47,18,29,0.3829787234042553,1.485485650708276,16.224422510209884,11.687068901456374,0.7535792104406648,1.3882370889580442
3.0,1.0,3.0,1.88544365817168,47,20,27,0.425531914893617,1.396624931979022,15.591478674145737,14.58912168649959,0.692451082726691,1.0687057801823465
3.0,1.2,2.5,1.7175955390289166,45,22,23,0.4888888888888889,1.6429174721146156,27.38351803404324,12.3255579998273,1.086748893169025,2.2216858688610226
3.0,1.5,2.0,1.6250591292472605,45,22,23,0.4888888888888889,1.5544043844973796,24.579289331431223,13.491646574852275,0.9721320141375684,1.8218153874002105
3.5000000000000004,0.7000000000000001,5.0,2.9666640673665974,47,14,33,0.2978723404255319,1.2585847558524959,6.2589512516193215,14.97619142473557,0.3253957723813202,0.4179267661657733
3.5000000000000004,0.8,4.375,2.797153493462574,46,15,31,0.32608695652173914,1.3534613678044713,10.93423777423428,15.552802670012852,0.5139793745900708,0.7030397032758884
3.5000000000000004,1.0,3.5000000000000004,2.140491675129163,45,17,28,0.37777777777777777,1.2995842313284205,11.054909086008076,18.15234210709269,0.4986697710805773,0.6090073127086215
3.5000000000000004,1.2,2.916666666666667,1.9449430521739421,43,18,25,0.4186046511627907,1.4003589975652384,16.63117386806998,15.787924154627092,0.6815225381611053,1.053411056778845
3.5000000000000004,1.5,2.3333333333333335,1.8055504816835954,42,18,24,0.42857142857142855,1.3541628612626968,14.725463462858476,16.590923588043513,0.6079794106367683,0.8875614057719242
