entry_bar,exit_bar,entry_price,exit_price,pnl,pnl_pct,exit_reason
0,38,51622.85853,50812.6919445,-1490.9252957732242,-0.015693950481823413,sl
48,336,51034.014255,51132.67141473,180.7380933684326,0.0019331647954840654,time
346,358,51201.587999999996,52768.594663920005,2863.868455586082,0.030604649682349872,tp
368,398,53566.669949999996,55711.85461776,3852.843443707243,0.04004700441080903,tp
408,517,55871.94200999999,57903.034009995004,3627.1502910366835,0.036352629368628195,tp
527,547,59329.660005,61219.34373564,3284.680889988653,0.031850574071733216,tp
557,559,61821.37524,60258.356899425,-2683.778682646065,-0.0252828141481345,sl
576,607,61136.53299,63190.10414250001,3476.552598442009,0.03358991836903647,tp
617,652,62513.49112499999,61568.63918055,-1612.7678505193035,-0.015114368553832575,sl
662,950,61343.55645,62635.936365,2213.6207711882453,0.02106790003369628,time
960,1001,63029.53902,65401.78275,4029.9422615302756,0.037637015388090805,tp
1011,1036,65100.714089999994,67279.073525055,3707.541522116342,0.033461375431972765,tp
1046,1094,67063.52500499999,66000.88305,-1809.8115903815487,-0.01584530420852102,sl
1104,1127,66744.025335,64442.43345460501,-3875.631367403359,-0.034483863819164275,sl
1137,1139,64622.295,63055.306575,-2633.404570200917,-0.024248418057575875,sl
1149,1151,63990.27915,63005.381550000006,-1631.4256904349895,-0.01539136276763691,sl
1161,1165,64053.120554999994,63072.30105351,-1597.8024051330722,-0.015312595124039423,sl
1175,1179,63294.85161,65326.89521250001,3298.040364348679,0.032104405821515025,tp
1189,1409,66109.95846,68297.4342,3499.5708501735207,0.033088445235123734,tp
13080,13097,55265.87913,57175.236980550006,3765.389788487475,0.03454858369408532,tp
13107,13120,56844.39799499999,55530.636762015,-2599.1655082855286,-0.023111533929879077,sl
13130,13184,55905.939,57606.46937649001,3342.4735367615212,0.03041770529048817,tp
13366,13452,57458.825054999994,56457.684566235,-1968.1149565604137,-0.017423615742345838,sl
16048,16098,57182.587005,58910.51102949001,3353.5478183357773,0.03021766091728094,tp
16108,16130,59592.131174999995,62436.236265,5443.656734646516,0.047726185218110756,tp
16237,16404,60665.3175,59559.586279514995,-2171.2296442158404,-0.018226744143966658,sl
19092,19177,54498.085425,56222.477788455006,3700.373844337766,0.03164133840679784,tp
19187,19358,56558.254994999996,55627.16180535,-1981.2961531092587,-0.01646255157151356,sl
19368,19556,56913.632595,59022.452920545,4385.411945527972,0.03705299116209037,tp
19651,19779,59943.956999999995,58603.042770525004,-2738.220306230811,-0.022369464689743306,sl
20184,20219,63979.994009999995,62797.21416576,-2212.697820108966,-0.01848671389458287,sl
