tp,sl,ratio,pf,mdd,return,trades,wr,sharpe
3.5000000000000004,0.8,4.375,2.7567334293791728,6.337427936505399,45.023414292274595,35,51.42857142857142,1.8756547045560115
3.5000000000000004,1.5,2.3333333333333335,2.394311225187084,10.894052312014486,38.084308160687826,27,59.25925925925925,1.5233787567671047
4.0,1.5,2.666666666666667,2.240659455676317,13.136120760539674,36.324803332666164,27,59.25925925925925,1.4464188207225488
3.0,1.5,2.0,2.2266341741364952,6.959975352800001,30.325500771859996,27,59.25925925925925,1.324536246117422
2.5,0.8,3.125,2.2043671103732367,9.784663627080565,33.25209723957314,40,57.49999999999999,1.4602117150835714
3.5000000000000004,1.7999999999999998,1.9444444444444449,2.131830207307598,10.820779487161111,31.302696100972184,26,61.53846153846154,1.3051203853469786
2.0,0.8,2.5,2.119703217049571,9.437631243866324,32.87876143000037,46,60.86956521739131,1.5014271076205592
2.5,1.2,2.0833333333333335,2.062886944724214,9.784663627080555,29.637053323889834,34,64.70588235294117,1.2835111229214644
3.5000000000000004,1.2,2.916666666666667,2.0409965081152293,13.243929130503215,31.582414285882145,30,56.666666666666664,1.3117516103661975
4.0,0.8,5.0,1.9300815460964482,11.530487387225175,26.787116974126256,32,43.75,1.177473386912653
4.0,1.7999999999999998,2.2222222222222223,1.9246158278854002,12.302588228210992,28.211331989930226,26,57.692307692307686,1.1710251909328429
4.0,1.0,4.0,1.9177766498841287,11.836204845052336,25.216817510975698,30,46.666666666666664,1.133695176061965
4.0,1.2,3.3333333333333335,1.902535420252952,13.242455730883847,28.22917147742647,30,53.333333333333336,1.222620512766931
3.0,1.2,2.5,1.8714085816937613,11.777766517020162,23.658396175479517,31,54.83870967741935,1.0711797702833732
3.5000000000000004,1.0,3.5000000000000004,1.8686534679678282,11.91554568524128,24.59599072713422,31,48.38709677419355,1.1065323412410024
3.0,0.8,3.75,1.8060523596137883,9.784663627080581,23.771652502533893,36,50.0,1.0276623610323068
3.0,1.7999999999999998,1.6666666666666667,1.7753199519110041,10.037020699276034,23.57498870812243,28,64.28571428571429,0.9722306675553065
2.5,1.0,2.5,1.737504810052844,9.784663627080565,22.37734907971493,38,55.26315789473685,1.0334900582387136
2.5,1.5,1.6666666666666667,1.704145744537522,12.422693899102104,22.192455225709956,34,61.76470588235294,0.9923331974823749
2.0,1.0,2.0,1.6715570728413829,9.437631243866331,21.983680230860088,45,60.0,1.023793422053233
3.0,1.0,3.0,1.6581663127449815,9.784663627080581,19.7127827219788,34,50.0,0.8804766710091787
2.0,1.2,1.6666666666666667,1.4446791997480783,11.199056813202514,13.92718226550678,43,60.46511627906976,0.6920614180357766
